state_usps,num_ev_laws,num_incentives,num_regulations,policy_score
CA,89,29,60,148.0
US,78,55,18,142.0
WA,42,13,28,69.0
CO,42,12,28,68.0
NJ,37,12,25,61.5
MA,37,11,25,60.5
CT,31,7,25,50.5
VT,29,11,18,49.0
OR,30,8,21,48.5
MD,29,8,22,48.0
NY,29,9,20,48.0
IL,28,10,18,47.0
VA,28,8,20,46.0
DC,24,5,19,38.5
NC,23,7,16,38.0
TX,22,11,9,37.5
HI,21,3,18,33.0
WI,19,7,12,32.0
RI,20,4,16,32.0
ME,20,4,15,31.5
OK,19,6,13,31.5
DE,18,7,10,30.0
UT,17,7,10,29.0
SC,16,6,10,27.0
MN,16,5,11,26.5
NM,15,5,10,25.0
AZ,15,5,10,25.0
IN,15,4,11,24.5
PA,13,7,6,23.0
NV,14,3,11,22.5
NH,14,2,12,22.0
FL,12,3,9,19.5
GA,11,5,6,19.0
MI,11,5,6,19.0
IA,12,2,10,19.0
NE,10,3,7,16.5
MT,10,2,8,16.0
KY,9,2,7,14.5
MS,8,2,7,13.5
AL,8,3,5,13.5
AR,8,2,6,13.0
MO,8,2,6,13.0
LA,8,2,6,13.0
WV,8,1,7,12.5
TN,7,3,4,12.0
OH,7,2,5,11.5
ND,7,2,5,11.5
SD,5,2,3,8.5
AK,5,1,4,8.0
KS,5,1,4,8.0
WY,5,1,4,8.0
ID,4,1,3,6.5
