state,renewable_energy_btu,total_energy_btu,renewable_share
Alabama,476392.0,1860171.0,0.2561011863963044
Alaska,0.0,746978.0,0.0
Arizona,329474.0,1526567.0,0.2158267537553216
Arkansas,156492.0,1049897.0,0.14905462154859
California,185192.0,6816746.0,0.027167214386453597
Colorado,0.0,1368260.0,0.0
Connecticut,142873.0,688978.0,0.2073694660787427
Delaware,0.0,268494.0,0.0
District of Columbia,0.0,135231.0,0.0
Florida,312935.0,4301743.0,0.0727460938507949
Georgia,390663.0,2838817.0,0.137614717679935
Hawaii,0.0,272874.0,0.0
Idaho,0.0,505344.0,0.0
Illinois,1019691.0,3486989.0,0.2924273635506163
Indiana,0.0,2555897.0,0.0
Iowa,0.0,1405284.0,0.0
Kansas,107675.0,973356.0,0.11062242386136213
Kentucky,0.0,1611130.0,0.0
Louisiana,127634.0,4166787.0,0.03063127536876735
Maine,0.0,328596.0,0.0
Maryland,156610.0,1182581.0,0.13243067493896823
Massachusetts,0.0,1282732.0,0.0
Michigan,292615.0,2543241.0,0.11505594632989953
Minnesota,124626.0,1689356.0,0.07377130693589747
Mississippi,122807.0,1074319.0,0.11431148476383644
Missouri,95947.0,1681954.0,0.05704496080154392
Montana,0.0,382218.0,0.0
Nebraska,72391.0,840136.0,0.0861658112496072
Nevada,0.0,689433.0,0.0
New Hampshire,99658.0,294907.0,0.33793026276080257
New Jersey,296162.0,1982296.0,0.14940351995867418
New Mexico,0.0,680489.0,0.0
New York,287690.0,3436991.0,0.0837040306477381
North Carolina,442493.0,2472784.0,0.1789452697849873
North Dakota,0.0,703926.0,0.0
Ohio,169392.0,3381273.0,0.0500971083967488
Oklahoma,0.0,1519146.0,0.0
Oregon,0.0,875020.0,0.0
Pennsylvania,787083.0,3607506.0,0.21817926290351283
Rhode Island,0.0,182950.0,0.0
South Carolina,581365.0,1603946.0,0.3624592099734031
South Dakota,0.0,347163.0,0.0
Tennessee,396522.0,2058049.0,0.19266888203342097
Texas,425186.0,14137451.0,0.030075152868788015
Utah,0.0,853951.0,0.0
Vermont,0.0,113104.0,0.0
Virginia,310037.0,2435265.0,0.12731140142859196
Washington,88163.0,1602662.0,0.05501035152764588
West Virginia,0.0,832806.0,0.0
Wisconsin,101204.0,1656177.0,0.06110699520643023
Wyoming,0.0,499766.0,0.0
