state,state_usps_x,EV_Count,station_count,median_income,population_x,EV_per_1000_pop,Stations_per_100k_pop,EV_per_station,Income_Index,population_y,station_count_stations_extra,median_income_income_extra,renewable_energy_btu,total_energy_btu,renewable_share,state_usps_y,num_ev_laws,num_incentives,num_regulations,policy_score,latest_model_year,n_vehicles_latest,avg_range_latest,bev_share_latest,phev_share_latest,renewable_share_pct,ideal_station_count,charger_gap
Alaska,AK,19,25,95665.0,733017.0,0.0259202719718642,3.4105621015610823,0.76,1.1584411872977738,733017.0,,95665.0,0.0,746978.0,0.0,AK,5,1,4,8.0,2016,1,19.0,0.0,100.0,0.0,0.95,-24.05
Alabama,AL,42,49,66659.0,5033094.0,0.0083447676518658,0.9735562260510136,0.8571428571428571,0.8071973146300351,5033094.0,,66659.0,476392.0,1860171.0,0.2561011863963044,AL,8,3,5,13.5,2022,1,42.0,0.0,100.0,25.610118639630443,2.1,-46.9
Arkansas,AR,486,49,62106.0,3014546.0,0.1612183061728034,1.625452058120858,9.918367346938776,0.7520634336310619,3014546.0,,62106.0,156492.0,1049897.0,0.14905462154859,AR,8,2,6,13.0,2022,1,0.0,100.0,0.0,14.905462154859,24.3,-24.7
Arizona,AZ,349,92,81486.0,7187135.0,0.048558987691201,1.280065005040256,3.793478260869565,0.9867426811074728,7187135.0,,81486.0,329474.0,1526567.0,0.2158267537553216,AZ,15,5,10,25.0,2022,1,41.0,0.0,100.0,21.58267537553216,17.45,-74.55
California,CA,3259,592,100149.0,39521958.0,0.082460489432229,1.497901495669825,5.505067567567568,1.2127395229883944,39521958.0,,100149.0,185192.0,6816746.0,0.0271672143864535,CA,89,29,60,148.0,2023,1,0.0,100.0,0.0,2.7167214386453598,162.95,-429.05
Colorado,CO,914,132,97113.0,5787129.0,0.1579366901964687,2.2809237533844504,6.924242424242424,1.1759755294208822,5787129.0,,97113.0,0.0,1368260.0,0.0,CO,42,12,28,68.0,2022,2,11.0,50.0,50.0,0.0,45.7,-86.3
Connecticut,CT,170,114,96049.0,3579918.0,0.0474871212133909,3.1844304813685675,1.4912280701754386,1.16309117857904,3579918.0,,96049.0,142873.0,688978.0,0.2073694660787427,CT,31,7,25,50.5,2022,1,0.0,100.0,0.0,20.73694660787427,8.5,-105.5
District of Columbia,DC,797,39,109707.0,,,,20.435897435897434,1.3284807122236646,,,109707.0,0.0,135231.0,0.0,DC,24,5,19,38.5,2022,1,0.0,100.0,0.0,0.0,39.85,0.8500000000000014
Delaware,DE,0,34,87534.0,991928.0,0.0,3.427668137203507,0.0,1.0599800437874178,991928.0,,87534.0,0.0,268494.0,0.0,DE,18,7,10,30.0,2022,1,0.0,100.0,0.0,0.0,0.0,-34.0
Florida,FL,491,165,77735.0,21592035.0,0.0227398668073667,0.7641706768259684,2.975757575757576,0.9413205006490613,21592035.0,,77735.0,312935.0,4301743.0,0.0727460938507949,FL,12,3,9,19.5,2022,1,42.0,0.0,100.0,7.274609385079491,24.55,-140.45
