Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References,Status,Status Date
202,CO,Low Emission Vehicle (LEV) Sales Tax Exemption,"Vehicles, vehicle power sources, or parts used for converting a vehicle
power source to reduce emissions are exempt from state sales and use
tax. Exempt vehicles include vehicles certified to federal LEV standards
that have a gross vehicle weight rating (GVWR) of over 26,000 pounds
(lbs.). The exemption also applies if the GVWR is greater than 10,000
lbs. and if the vehicle, power source, or parts used for converting the
power source meet the definition of a category 4, 4A, 4B, 4C, 7, or 7A
truck, as defined in [Colorado Revised Statutes
39-22-516.8](https://leg.colorado.gov/colorado-revised-statutes). The
vehicle power source includes the engine or motor and associated wiring,
fuel lines, engine coolant system, fuel storage containers, and other
components.

(Reference [Colorado Revised Statutes 39-26-719](https://leg.colorado.gov/colorado-revised-statutes))",,2014-06-06 00:00:00 UTC,false,30,State Incentives,"",2015-07-08 15:21:54 UTC,,,,"",AFTMKTCONV|NG|LPG,EXEM|TAX,"",MAN|FLEET|IND,https://leg.colorado.gov/colorado-revised-statutes,amended,2014-06-06
272,US,Pollution Prevention Grants Program,"The Pollution Prevention (P2) Grants Program supports state and tribal
technical assistance, education, and research programs that help
businesses and industries identify better environmental strategies and
solutions for complying with federal and state environmental
regulations. Eligible applicants include states, U.S. territories, and
qualified state agencies, colleges and universities. Local governments,
private universities, private non-profit organizations, private
businesses, and individuals are not eligible for funding. Matching funds
will be awarded and managed by the U.S. Environmental Protection
Agency's regional P2 program offices. Grant amounts awarded are
dependent on Congressional appropriations for this program. For more
information see the [P2
Program](https://www.epa.gov/p2/grant-programs-pollution-prevention)
website.

(Reference [Public Law 101-508](https://www.congress.gov/public-laws/101st-congress) and [42 U.S. Code 13104](https://www.govinfo.gov/))",1990-11-05 00:00:00 UTC,,false,36,Programs,U.S. Environmental Protection Agency,,,,,"",OTHER,GNT,"",FLEET|GOV|IND|TRANS|TRIBAL,https://www.congress.gov/public-laws/101st-congress|https://www.govinfo.gov/,enacted,1990-11-05
273,US,SmartWay Transport Partnership,"The SmartWay Transport Partnership is a market-based public-private
collaboration between the U.S. Environmental Protection Agency (EPA) and
the domestic freight industry. This partnership is designed to reduce
greenhouse gases and air pollution by accelerating the adoption of
advanced technologies and operational practices which increase fuel
efficiency and reduce emissions from goods movement. EPA provides
partners with performance benchmarking tools, fleet management best
practices, technology verification, public recognition and awards, and
use of the SmartWay Transport Partner logo to demonstrate their
leadership to customers, shareholders and other stakeholders. The
SmartWay Transport Partnership is working with partners to test and
verify advanced technologies and operational practices that save fuel
and reduce emissions. Grants are available to states, non-profits, and
academic institutions to demonstrate innovative idle reduction
technologies for the trucking industry. For more information, see the
[SmartWay Transport Partnership](http://www.epa.gov/smartway/) website.
",,,false,32,Programs,U.S. Environmental Protection Agency,,,,,"",BIOD|EFFEC|IR|NG|LPG,GNT|LOANS,"",FLEET|GOV,"",,
284,US,Congestion Mitigation and Air Quality (CMAQ) Improvement Program,"The CMAQ Program provides funding to state departments of transportation
(DOTs), local governments, and transit agencies for projects and
programs that help meet the requirements of the Clean Air Act by
reducing mobile source emissions and regional congestion on
transportation networks. Eligible activities include transit
improvements, travel demand management strategies, congestion relief
efforts (such as high occupancy vehicle lanes), diesel retrofit
projects, alternative fuel vehicles and infrastructure, and medium- or
heavy-duty zero emission vehicles and related charging equipment.
Projects supported with CMAQ funds must demonstrate emissions
reductions, be located in or benefit a U.S. Environmental Protection
Agency-designated [nonattainment or maintenance
area](https://www3.epa.gov/airquality/greenbook/ancl.html), and be a
transportation project. For more information, see the [Infrastructure
Investment and Jobs Act
CMAQ](https://www.fhwa.dot.gov/infrastructure-investment-and-jobs-act/cmaq.cfm)
fact sheet and the [CMAQ Improvement
Program](http://www.fhwa.dot.gov/environment/air_quality/cmaq/) website.

(Reference [Public Law 117-58](https://www.congress.gov/public-laws/117th-congress), [Public Law 112-141](https://www.congress.gov/public-laws/112th-congress), and [23 U.S. Code 149 and 151](https://www.govinfo.gov/))",2005-08-10 00:00:00 UTC,2021-11-15 00:00:00 UTC,false,54,Incentives,U.S. Department of Transportation,2021-11-29 21:00:16 UTC,,,,"",BIOD|ETH|ELEC|HY|IR|NG|PHEV|LPG,GNT,"",STATION|FLEET|GOV|TRANS,https://www.congress.gov/public-laws/117th-congress|https://www.congress.gov/public-laws/112th-congress|https://www.govinfo.gov/|https://www.govinfo.gov/,amended,2021-11-15
288,US,Clean Cities and Communities ,"The mission of Clean Cities and Communities is to foster the economic,
environmental, and energy security of the United States by working
locally to advance affordable, domestic transportation fuels and
technologies. Nearly 100 volunteer coalitions carry out this mission by
developing public/private partnerships to promote alternative and
renewable fuels, idle-reduction measures, fuel economy, improvements,
and emerging transportation technologies. Clean Cities and Communities
provides information about funding opportunities, coordinates technical
assistance projects, updates and maintains databases and websites, and
publishes technical and informational materials. For more information,
see the [Clean Cities and Communities](https://cleancities.energy.gov/)
website.
",,,false,21,Programs,U.S. Department of Energy,,,,,"",AFTMKTCONV|BIOD|ETH|ELEC|EFFEC|HEV|HY|IR|NG|NEVS|PHEV|LPG,GNT|OTHER,"",STATION|AFP|PURCH|MAN|FLEET|GOV|IND,"",,
304,US,Tier 3 Vehicle and Gasoline Sulfur Program,"The Tier 3 Vehicle and Gasoline Sulfur Program requires new passenger
vehicles, including sport utility vehicles, pick-up trucks, and vans, to
meet stringent emissions standards. New emissions standards apply to all
light-duty vehicles, regardless of whether they run on gasoline, diesel,
or alternative fuels. Additionally, this program requires gasoline
refiners and importers to reduce the sulfur content of gasoline sold in
the United States. For more information, see the U.S. Environmental
Protection Agency [Emission
Standards](https://www.epa.gov/emission-standards-reference-guide/all-epa-emission-standards)
website. (Reference 40 [CFR](https://www.govinfo.gov/) 80, 85, and 86)
",2000-02-10 00:00:00 UTC,,false,36,Laws and Regulations,U.S. Environmental Protection Agency,2015-01-02 16:38:50 UTC,,,,"",OTHER,"",AIRQEMISSIONS,MAN,http://www.gpo.gov/fdsys,enacted,2000-02-10
317,US,State Energy Program (SEP) Funding,"The SEP provides grants to states to assist in designing, developing,
and implementing renewable energy and energy efficiency programs,
including programs to help reduce carbon emissions in the transportation
sector by 2050 and accelerate the use of alternative transportation
fuels for, and the electrification of, state government vehicles, fleet
vehicles, taxis and ridesharing services, mass transit, school buses,
ferries, and privately owned passenger and medium- and heavy-duty
vehicles. Each state's energy office receives SEP funding and manages
all SEP-funded projects. States may also receive project funding from
technology programs in the U.S. Department of Energy's Office of Energy
Efficiency and Renewable Energy (EERE) for SEP Special Projects. EERE
distributes the funding through an annual competitive solicitation to
state energy offices. SEP is authorized through fiscal year 2026.

For more information, see the
[SEP](http://energy.gov/eere/wipo/state-energy-program) website.

(Reference [Public Law 117-58](https://www.congress.gov/public-laws/117th-congress) and [42 U.S. Code 6322 through 6325](https://www.govinfo.gov/))",,2021-11-15 00:00:00 UTC,false,26,Incentives,U.S. Department of Energy,2021-11-29 21:33:02 UTC,,,,"",BIOD|ETH|ELEC|EFFEC|HY|NG|PHEV|LPG,GNT,"",GOV,https://www.congress.gov/public-laws/117th-congress|https://www.govinfo.gov/,amended,2021-11-15
323,US,Clean School Bus,"The U.S. Environmental Protection Agency's (EPA) Clean School Bus
program provides funding to eligible applicants for the replacement of
existing school buses with clean, alternative fuel school buses or zero
emission school buses. EPA may award up to 100% of the cost of the
replacement bus, charging equipment, or fueling infrastructure.
Alternative fuels include electricity, natural gas, hydrogen, or
propane. Eligible applicants are school districts, state and local
government programs, federally recognized Indian tribes, non-profit
organizations, and eligible contractors. EPA will prioritize funding for
high-need local education agencies; low income, rural and tribal
schools; and, applications that cost share through public-private
partnerships, grants from other entities, or school bonds. For more
information, including funding availability, timeline, and application
materials, see the EPA [Clean School
Bus](https://www.epa.gov/cleanschoolbus) website and [Program
Guide](https://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=P101BLI8.pdf).

(Reference [Public Law 117-58](https://www.congress.gov/public-laws/117th-congress) and [42 U.S. Code 16091](https://www.govinfo.gov/))",,2021-11-15 00:00:00 UTC,false,33,Incentives,U.S. Environmental Protection Agency,2022-08-16 12:38:06 UTC,,,,"",AFTMKTCONV|ETH|ELEC|EFFEC|HY|IR|NG|PHEV|LPG,GNT,"",FLEET|GOV|TRIBAL,https://www.congress.gov/public-laws/117th-congress|https://www.govinfo.gov/,amended,2021-11-15
324,US,Clean Construction and Agriculture,"Clean Construction is a voluntary program that promotes the reduction of
diesel exhaust emissions from construction equipment and vehicles by
encouraging proper operations and maintenance, use of emissions-reducing
technologies, and use of cleaner fuels.

Clean Agriculture is a voluntary program that promotes the reduction of
diesel exhaust emissions from agricultural equipment and vehicles by
encouraging proper operations and maintenance by farmers, ranchers, and
agribusinesses, use of emissions-reducing technologies, and use of
cleaner fuels.

Clean Construction and Clean Agriculture are part of the U.S.
Environmental Protection Agency\'s [Diesel Emissions Reduction Act
(DERA) Program](http://www.epa.gov/cleandiesel/), which offers funding
for clean diesel construction and agricultural equipment projects.

For more information, see the [Reducing Diesel Emissions from
Construction and
Agriculture](https://www.epa.gov/dera/reducing-diesel-emissions-construction-and-agriculture)
website.
",,,false,34,Programs,U.S. Environmental Protection Agency,,,,,"",BIOD|ELEC|HEV|HY|NG|PHEV|LPG,GNT,"",PURCH|FLEET|OTHER,"",,
325,US,Ports Initiative,"The U.S. Environmental Protection Agency\'s (EPA) Ports Initiative is an
incentive-based program designed to reduce emissions by encouraging port
authorities and terminal operators to retrofit and replace older diesel
engines with new technologies and use cleaner fuels. EPA\'s Ports
Initiative offers funding to port authorities and public entities to
help them overcome barriers that impede the adoption of cleaner diesel
technologies and strategies. For more information, see the [Ports
Initiative](https://www.epa.gov/ports-initiative) website.
",,,false,34,Programs,U.S. Environmental Protection Agency,,,,,"",BIOD|ELEC|HEV|HY|NG|PHEV|LPG,GNT|OTHER,"",FLEET|GOV,"",,
